transaction date,transaction number,product type,product scent,product size,cash or card,loyalty number,customer name,loyalty tier,loyalty discount,quantity,sales before discount,sales after discount,profit
2023-01-03,30123054.0,Liquid,Ocean Mist,0.25L,Cash,,,,0.0,5.0,7.75,7.75,3.8
2023-01-03,30123054.0,Liquid,Sandalwood Spice,1L,Cash,,,,0.0,3.0,39.57,39.57,10.56
2023-01-03,30123054.0,Liquid,Coconut Dream,1L,Cash,,,,0.0,4.0,30.0,30.0,2.68
2023-01-03,30123055.0,Bar,Ocean Mist,1x,Card,,,,0.0,4.0,4.8,4.8,2.16
2023-01-03,30123055.0,Bar,Sandalwood Spice,1x,Card,,,,0.0,4.0,15.0,15.0,6.84
2023-01-03,30123055.0,Bar,Ocean Mist,2x,Card,,,,0.0,2.0,4.08,4.08,1.58
2023-01-03,30123056.0,Bar,Rose Garden,4x,Card,,,,0.0,1.0,8.37,8.37,2.79
2023-01-03,30123056.0,Liquid,Rose Garden,0.5L,Card,,,,0.0,5.0,35.25,35.25,16.75
2023-01-03,30123057.0,Bar,Lavender Fields,2x,Card,1008201.0,Cosetta O'cahill,Bronze,0.05,1.0,2.41,2.29,-0.09
2023-01-03,30123057.0,Bar,Ocean Mist,4x,Card,1008201.0,Cosetta O'cahill,Bronze,0.05,4.0,18.6,17.67,8.15
2023-01-03,30123057.0,Bar,Cedarwood Forest,4x,Card,1008201.0,Cosetta O'cahill,Bronze,0.05,2.0,10.6,10.07,2.07
2023-01-03,30123058.0,Bar,Vanilla Bean,4x,Cash,1002980.0,Eziechiele Brugemann,Bronze,0.05,2.0,35.48,33.71,15.71
2023-01-03,30123058.0,Liquid,Vanilla Bean,1L,Cash,1002980.0,Eziechiele Brugemann,Bronze,0.05,1.0,12.5,11.88,0.03
2023-01-04,40123001.0,Bar,Sandalwood Spice,4x,Cash,1001947.0,Barth Matula,,0.0,2.0,15.98,15.98,1.3
2023-01-04,40123001.0,Liquid,Ocean Mist,0.25L,Cash,1001947.0,Barth Matula,,0.0,4.0,6.2,6.2,3.04
2023-01-04,40123002.0,Bar,Lavender Fields,4x,Cash,,,,0.0,5.0,25.5,25.5,3.0
2023-01-04,40123003.0,Bar,Coconut Dream,4x,Cash,1001434.0,Anne-corinne Sante,Bronze,0.05,1.0,9.63,9.15,3.97
2023-01-04,40123004.0,Bar,Lavender Fields,1x,Cash,1006124.0,Rustie O'dunniom,Bronze,0.05,2.0,3.54,3.36,0.86
2023-01-04,40123004.0,Liquid,Vanilla Bean,1L,Cash,1006124.0,Rustie O'dunniom,Bronze,0.05,5.0,62.5,59.38,0.13
2023-01-04,40123005.0,Liquid,Cedarwood Forest,0.5L,Cash,1009117.0,Elnar Serjent,Bronze,0.05,1.0,4.39,4.17,1.52
2023-01-04,40123006.0,Bar,Citrus Breeze,1x,Cash,1001696.0,Lorain Mcconnell,,0.0,2.0,1.62,1.62,0.12
2023-01-04,40123007.0,Liquid,Coconut Dream,1L,Cash,,,,0.0,3.0,22.5,22.5,2.01
2023-01-04,40123008.0,Bar,Cedarwood Forest,4x,Card,1004441.0,Tremaine Zannelli,Silver,0.1,5.0,26.5,23.85,3.85
2023-01-04,40123009.0,Bar,Rose Garden,2x,Cash,1009766.0,Gwenneth Trobe,Bronze,0.05,2.0,6.34,6.02,0.12
2023-01-04,40123009.0,Bar,Fresh Rain,4x,Cash,1009766.0,Gwenneth Trobe,Bronze,0.05,1.0,4.28,4.07,0.69
2023-01-04,40123009.0,Liquid,Rose Garden,0.25L,Cash,1009766.0,Gwenneth Trobe,Bronze,0.05,1.0,1.9,1.8,-0.06
2023-01-04,40123010.0,Liquid,Sandalwood Spice,0.25L,Card,,,,0.0,1.0,4.25,4.25,1.8
2023-01-04,40123011.0,Bar,Lavender Fields,1x,Card,1001269.0,Fin Rhucroft,,0.0,4.0,7.08,7.08,2.08
2023-01-04,40123011.0,Liquid,Rose Garden,0.25L,Card,1001269.0,Fin Rhucroft,,0.0,2.0,3.8,3.8,0.08
2023-01-04,40123012.0,Bar,Vanilla Bean,4x,Cash,1004968.0,Raeann Drysdall,Bronze,0.05,5.000000000000001,88.7,84.26,39.26
2023-01-04,40123012.0,Liquid,Vanilla Bean,1L,Cash,1004968.0,Raeann Drysdall,Bronze,0.05,1.0,12.5,11.88,0.03
2023-01-04,40123013.0,Liquid,Cedarwood Forest,0.25L,Card,1003116.0,Shana Witcher,Bronze,0.05,2.0,3.12,2.96,0.3
2023-01-04,40123014.0,Bar,Vanilla Bean,1x,Card,1006113.0,Cristen Sporton,Bronze,0.05,3.0,10.92,10.37,2.87
2023-01-04,40123014.0,Bar,Citrus Breeze,4x,Card,1006113.0,Cristen Sporton,Bronze,0.05,4.0,16.24,15.43,4.63
2023-01-04,40123015.0,Bar,Coconut Dream,1x,Cash,1006158.0,Karlan Gerard,Silver,0.1,4.0,10.96,9.86,4.1
2023-01-04,40123015.0,Bar,Eucalyptus Mint,4x,Cash,1006158.0,Karlan Gerard,Silver,0.1,1.0,8.3,7.47,0.67
2023-01-04,40123016.0,Bar,Fresh Rain,2x,Cash,1006190.0,Yard Mollen,Silver,0.1,1.0,1.89,1.7,-0.09
2023-01-04,40123016.0,Bar,Coconut Dream,2x,Cash,1006190.0,Yard Mollen,Silver,0.1,4.0,17.28,15.55,4.59
2023-01-04,40123017.0,Bar,Sandalwood Spice,4x,Cash,1003139.0,Krystyna Hessentaler,Bronze,0.05,2.0,15.98,15.18,0.5
2023-01-04,40123017.0,Liquid,Cedarwood Forest,0.25L,Cash,1003139.0,Krystyna Hessentaler,Bronze,0.05,2.9999999999999996,4.68,4.45,0.46
2023-01-04,40123018.0,Liquid,Cedarwood Forest,0.25L,Cash,1005925.0,Aloise Diffley,Bronze,0.05,4.0,6.24,5.93,0.61
2023-01-04,40123019.0,Bar,Eucalyptus Mint,1x,Card,1000141.0,Gareth Ovitts,Silver,0.1,4.0,13.96,12.56,5.0
2023-01-04,40123020.0,Bar,Cedarwood Forest,4x,Cash,1001899.0,Wynny Duxbarry,Bronze,0.05,5.0,26.5,25.17,5.17
2023-01-04,40123020.0,Liquid,Cedarwood Forest,0.25L,Cash,1001899.0,Wynny Duxbarry,Bronze,0.05,4.0,6.24,5.93,0.61
2023-01-04,40123021.0,Bar,Rose Garden,1x,Cash,1007125.0,Bear Raoult,Silver,0.1,2.9999999999999996,7.35,6.62,1.97
2023-01-04,40123021.0,Bar,Rose Garden,1x,Cash,1007125.0,Bear Raoult,Silver,0.1,4.0,9.8,8.82,2.62
2023-01-04,40123021.0,Liquid,Vanilla Bean,0.25L,Cash,1007125.0,Bear Raoult,Silver,0.1,5.0,23.05,20.74,5.74
2023-01-04,40123022.0,Bar,Citrus Breeze,2x,Cash,1005053.0,Rena Mcclifferty,Silver,0.1,4.0,8.08,7.27,1.59
2023-01-04,40123022.0,Liquid,Rose Garden,0.25L,Cash,1005053.0,Rena Mcclifferty,Silver,0.1,3.0000000000000004,5.7,5.13,-0.45
2023-01-04,40123022.0,Liquid,Rose Garden,0.25L,Cash,1005053.0,Rena Mcclifferty,Silver,0.1,3.0000000000000004,5.7,5.13,-0.45
2023-01-04,40123023.0,Bar,Fresh Rain,4x,Cash,,,,0.0,4.999999999999999,21.4,21.4,4.5
2023-01-04,40123023.0,Bar,Sandalwood Spice,4x,Cash,,,,0.0,2.9999999999999996,23.97,23.97,1.95
2023-01-04,40123024.0,Bar,Rose Garden,1x,Card,1009554.0,Velvet Ebbitt,,0.0,1.0,2.45,2.45,0.9
2023-01-04,40123024.0,Bar,Coconut Dream,1x,Card,1009554.0,Velvet Ebbitt,,0.0,4.0,10.96,10.96,5.2
2023-01-04,40123025.0,Bar,Eucalyptus Mint,4x,Cash,1008385.0,Nancee Hutchason,Gold,0.15,2.0,16.6,14.11,0.51
2023-01-04,40123026.0,Bar,Ocean Mist,4x,Card,1008227.0,Raina Macrae,Silver,0.1,1.0,4.65,4.19,1.81
2023-01-04,40123026.0,Liquid,Vanilla Bean,0.25L,Card,1008227.0,Raina Macrae,Silver,0.1,5.0,23.05,20.74,5.74
2023-01-04,40123026.0,Liquid,Fresh Rain,1L,Card,1008227.0,Raina Macrae,Silver,0.1,5.0,40.75,36.68,14.38
2023-01-04,40123027.0,Liquid,Fresh Rain,0.25L,Cash,1001834.0,Wildon Agglio,Silver,0.1,2.0,2.86,2.57,0.31
2023-01-04,40123027.0,Liquid,Lavender Fields,0.5L,Cash,1001834.0,Wildon Agglio,Silver,0.1,2.0,9.9,8.91,2.93
2023-01-04,40123028.0,Bar,Lavender Fields,1x,Card,1005241.0,Vania Arndell,Silver,0.1,5.0,8.85,7.96,1.71
2023-01-04,40123028.0,Bar,Vanilla Bean,2x,Card,1005241.0,Vania Arndell,Silver,0.1,2.9999999999999996,20.58,18.52,4.27
2023-01-04,40123028.0,Liquid,Sandalwood Spice,0.25L,Card,1005241.0,Vania Arndell,Silver,0.1,1.0,4.25,3.82,1.37
2023-01-04,40123029.0,Bar,Sandalwood Spice,1x,Card,1008871.0,Neall Curry,Gold,0.15,5.0,18.75,15.94,5.74
2023-01-04,40123029.0,Bar,Cedarwood Forest,2x,Card,1008871.0,Neall Curry,Gold,0.15,1.0,3.05,2.59,0.48
2023-01-04,40123029.0,Bar,Coconut Dream,4x,Card,1008871.0,Neall Curry,Gold,0.15,4.0,38.52,32.74,12.02
2023-01-04,40123030.0,Bar,Lavender Fields,1x,Cash,,,,0.0,1.0,1.77,1.77,0.52
2023-01-04,40123031.0,Liquid,Vanilla Bean,1L,Card,1004695.0,Amara Tucknott,Silver,0.1,5.0,62.5,56.25,-3.0
2023-01-04,40123032.0,Bar,Cedarwood Forest,1x,Card,,,,0.0,5.0,10.9,10.9,5.35
2023-01-04,40123032.0,Bar,Sandalwood Spice,4x,Card,,,,0.0,2.0,15.98,15.98,1.3
2023-01-04,40123032.0,Liquid,Coconut Dream,0.5L,Card,,,,0.0,3.0,12.36,12.36,2.04
2023-01-04,40123033.0,Bar,Lavender Fields,4x,Cash,1004052.0,Archambault Tewelson,,0.0,3.0000000000000004,15.3,15.3,1.8
2023-01-04,40123033.0,Liquid,Coconut Dream,1L,Cash,1004052.0,Archambault Tewelson,,0.0,1.0,7.5,7.5,0.67
2023-01-04,40123034.0,Liquid,Vanilla Bean,0.25L,Card,1002213.0,Jodee Scurr,Gold,0.15,2.0,9.22,7.84,1.84
2023-01-04,40123034.0,Liquid,Fresh Rain,0.5L,Card,1002213.0,Jodee Scurr,Gold,0.15,5.0,11.25,9.56,-1.64
2023-01-04,40123035.0,Liquid,Coconut Dream,0.25L,Cash,,,,0.0,3.0,7.14,7.14,1.95
2023-01-04,40123036.0,Liquid,Ocean Mist,0.5L,Cash,1007336.0,Sherrie Cosyns,Silver,0.1,4.0,11.64,10.48,4.16
2023-01-04,40123036.0,Liquid,Vanilla Bean,1L,Cash,1007336.0,Sherrie Cosyns,Silver,0.1,1.0,12.5,11.25,-0.6
2023-01-04,40123037.0,Bar,Ocean Mist,1x,Card,,,,0.0,5.0,6.0,6.0,2.7
2023-01-04,40123037.0,Liquid,Rose Garden,0.5L,Card,,,,0.0,1.0,7.05,7.05,3.35
2023-01-04,40123037.0,Liquid,Citrus Breeze,1L,Card,,,,0.0,4.0,23.68,23.68,9.48
2023-01-04,40123038.0,Liquid,Citrus Breeze,0.25L,Cash,1009244.0,Mischa Spaunton,Bronze,0.05,4.0,5.84,5.55,1.95
2023-01-04,40123039.0,Bar,Coconut Dream,2x,Cash,1001509.0,Willy Rennebeck,Silver,0.1,2.0,8.64,7.78,2.3
2023-01-04,40123039.0,Liquid,Cedarwood Forest,1L,Cash,1001509.0,Willy Rennebeck,Silver,0.1,3.0000000000000004,20.28,18.25,2.47
2023-01-04,40123040.0,Bar,Coconut Dream,4x,Card,,,,0.0,4.999999999999999,48.15,48.15,22.25
2023-01-04,40123040.0,Liquid,Coconut Dream,0.25L,Card,,,,0.0,4.0,9.52,9.52,2.6
2023-01-04,40123041.0,Bar,Ocean Mist,4x,Cash,,,,0.0,4.0,18.6,18.6,9.08
2023-01-04,40123041.0,Bar,Rose Garden,4x,Cash,,,,0.0,2.0,16.74,16.74,5.58
2023-01-04,40123041.0,Liquid,Vanilla Bean,0.25L,Cash,,,,0.0,3.0,13.83,13.83,4.83
2023-01-04,40123042.0,Bar,Coconut Dream,4x,Cash,1000479.0,Shep Long,Silver,0.1,3.0,28.89,26.0,10.46
2023-01-04,40123042.0,Liquid,Eucalyptus Mint,0.5L,Cash,1000479.0,Shep Long,Silver,0.1,4.0,35.52,31.97,13.93
2023-01-04,40123043.0,Liquid,Sandalwood Spice,0.5L,Card,,,,0.0,1.0,9.56,9.56,4.69
2023-01-04,40123044.0,Bar,Fresh Rain,4x,Card,1007463.0,Karisa Deeman,Silver,0.1,1.0,4.28,3.85,0.47
2023-01-04,40123044.0,Bar,Eucalyptus Mint,4x,Card,1007463.0,Karisa Deeman,Silver,0.1,5.0,41.5,37.35,3.35
2023-01-04,40123045.0,Bar,Fresh Rain,1x,Card,1003753.0,Sherwynd Sparshatt,Bronze,0.05,3.0,4.83,4.59,1.77
